USERID;FIRSTNAME;SURNAME;TITLE;EMAIL;MANAGER;DEPARTMENT;USERTYPE
aorvis;Akilah;Orvis;Customer accounts specialist south region;aorvis@myaccts.com;cdelettre;ACCTS-REC;Employee
jhall;Judith;Hall;Customer account specialist East Region;jhall@myaccts.com;cdelettre;ACCTS-REC;Employee
aaustin;Abe;Austin;Accounts receivable;aaustin@myaccts.com;cdelettre;ACCTS-REC;Employee
bleak;Blythe;Leak;Customer accounts specialist east region;bleak@myaccts.com;cdelettre;ACCTS-REC;Employee
calib;Cali;Brooks;Customer account specialist;calib@myaccts.com;cdelettre;ACCTS-REC;Employee
dbourdon;Deirdre;Bourdon;Customer accounts specialist;dbourdon@myaccts.com;cdelettre;ACCTS-REC;Employee
daprill;Doug;Aprill;Accounts payable specialist;daprill@myaccts.com;cdelettre;ACCTS-PAY;Employee
edwardg;Edward;Green;Customer account specialist South Region;edwardg@myaccts.com;cdelettre;ACCTS-PAY;Employee
bmagnani;Benton;Magnani;Accounts receivable;bmagnani@myaccts.com;cdelettre;ACCTS-REC;Employee
leonh;Leon;Huffman;Accounts payable;leonh@myaccts.com;cdelettre;ACCTS-PAY;Employee
cdelettre;Christal;Delettre;Director of Accounting;cdelettre@myaccts.com;;ACCOUNTS;Employee
